date,open,high,low,close,volume,SMA_50,SMA_100,SMA_200,avg_gain,avg_loss,RSI_30,monthly_mean,EMA_30,EMA_200
02-03-1998,0.3162,0.3281,0.3125,7.94E-05,0.002973313,0,0,0,0.004376667,0.002043333,0.666249361,0.26017,0,0
03-03-1998,0.3147,0.3157,0.2979,2.07E-06,0.001874131,6.97E-06,4.45E-06,5.01E-06,0.004376667,0.002396667,0.618503501,0.26215,9.63E-06,5.15E-06
04-03-1998,0.3,0.3094,0.2917,3.10E-05,0.001611164,1.50E-05,9.34E-06,1.05E-05,0.00434,0.002396667,0.615917809,0.264093333,2.06E-05,1.06E-05
05-03-1998,0.299,0.3258,0.2969,5.79E-05,0.003363653,2.27E-05,1.51E-05,1.61E-05,0.00436,0.002396667,0.617331665,0.266056667,3.27E-05,1.63E-05
06-03-1998,0.3151,0.3209,0.3073,8.81E-05,0.0010777,3.01E-05,2.09E-05,2.21E-05,0.004496667,0.002396667,0.626773439,0.268156667,4.61E-05,2.23E-05
09-03-1998,0.3203,0.3573,0.3198,0.000204334,0.007496767,4.03E-05,2.77E-05,2.89E-05,0.005433333,0.002066667,0.723605924,0.271523333,6.64E-05,2.97E-05
10-03-1998,0.3563,0.3677,0.3386,0.000197716,0.008130283,5.05E-05,3.46E-05,3.58E-05,0.005433333,0.00191,0.744356663,0.275046667,8.51E-05,3.69E-05
11-03-1998,0.3417,0.3438,0.3261,0.000137739,0.003494461,5.98E-05,4.08E-05,4.22E-05,0.005433333,0.00229,0.695480507,0.27819,9.84E-05,4.33E-05
12-03-1998,0.3281,0.338,0.3214,0.000118298,0.002540351,6.76E-05,4.76E-05,4.84E-05,0.0054,0.002446667,0.6749313,0.281143333,0.000109565,4.94E-05
13-03-1998,0.3318,0.3371,0.324,0.000121607,0.001315861,7.51E-05,5.44E-05,5.46E-05,0.005113333,0.002446667,0.659057163,0.28381,0.000120236,5.55E-05
16-03-1998,0.3316,0.3365,0.3292,0.000126985,0.000115047,8.20E-05,6.08E-05,6.10E-05,0.005156667,0.002376667,0.669994523,0.28659,0.000130584,6.16E-05
17-03-1998,0.3323,0.3344,0.3245,0.000141875,3.59E-05,8.94E-05,6.59E-05,6.74E-05,0.004806667,0.002376667,0.649356493,0.28902,0.000141274,6.78E-05
18-03-1998,0.3302,0.3574,0.3302,0.00023577,0.003984427,9.98E-05,7.19E-05,7.44E-05,0.005563333,0.0023,0.700860661,0.292283333,0.000157643,7.51E-05
19-03-1998,0.3558,0.3646,0.349,0.00021302,0.003406276,0.00010927,7.77E-05,8.12E-05,0.005563333,0.002333333,0.696850993,0.295513333,0.000171413,8.20E-05
20-03-1998,0.35,0.3537,0.3464,0.00021302,0.001274216,0.000118994,8.23E-05,8.82E-05,0.005563333,0.002126667,0.722271282,0.29895,0.000184295,8.89E-05
23-03-1998,0.3482,0.3531,0.3448,0.000209711,0,0.000129384,8.86E-05,9.50E-05,0.005563333,0.0021,0.72565119,0.302413333,0.000196121,9.56E-05
24-03-1998,0.3437,0.3614,0.3437,0.000217156,0.001000224,0.000141484,9.34E-05,0.000101634,0.005623333,0.002013333,0.739603247,0.306023333,0.000207689,0.000102386
25-03-1998,0.3542,0.3574,0.3375,0.000173311,0.003098213,0.000152471,9.67E-05,0.000108008,0.004876667,0.002366667,0.65488965,0.308533333,0.000215537,0.000108568
26-03-1998,0.3406,0.349,0.3313,0.000191511,0.001822037,0.000162335,0.000100751,0.000114621,0.005023333,0.00235,0.665658788,0.311206667,0.000224113,0.000114905
27-03-1998,0.3511,0.3631,0.3448,0.000230392,0.001735848,0.000172024,0.000105381,0.00012152,0.005336667,0.002296667,0.689614356,0.314246667,0.000234773,0.000121645
30-03-1998,0.3578,0.3646,0.3547,0.000245283,0.000933225,0.000181678,0.000110204,0.000128432,0.005456667,0.002176667,0.710720657,0.317526667,0.000245755,0.000128495
31-03-1998,0.3558,0.3604,0.349,0.000239492,0.001331196,0.000191919,0.000115227,0.000135334,0.005456667,0.002153333,0.713663387,0.32083,0.000255636,0.000135207
01-04-1998,0.3552,0.3766,0.3502,0.000318496,0.004279828,0.000203125,0.000121328,0.000142726,0.006093333,0.00203,0.758054422,0.324893333,0.000270238,0.000142797
02-04-1998,0.3797,0.4031,0.374,0.000403704,0.005099092,0.00021562,0.000128873,0.000150714,0.006516667,0.00203,0.774672951,0.32938,0.000289678,0.00015133
