date,open,high,low,close,volume,SMA_50,SMA_100,SMA_200,delta,gains,loss,avg_gain,avg_loss,rs,RSI_30,monthly_mean,EMA_30,EMA_200
15-05-1997,0.1219,0.125,0.0964,0.0979,6009006,,,,,0,0,,,,,,0.0979,0.0979
16-05-1997,0.0985,0.099,0.0854,0.0865,1225710,,,,-0.0114,0,0.0114,,,,,,0.097164516,0.097786567
19-05-1997,0.088,0.0886,0.0813,0.0854,508901,,,,-0.0011,0,0.0011,,,,,,0.096405515,0.097663318
20-05-1997,0.0865,0.0876,0.0818,0.0818,455879,,,,-0.0036,0,0.0036,,,,,,0.095463224,0.097505474
21-05-1997,0.0818,0.0824,0.0688,0.0714,1572203,,,,-0.0104,0,0.0104,,,,,,0.093910758,0.097245718
22-05-1997,0.0719,0.0724,0.0656,0.0698,981401,,,,-0.0016,0,0.0016,,,,,,0.092355225,0.096972626
23-05-1997,0.0703,0.0761,0.0667,0.075,1328101,,,,0.0052,0.0052,0,,,,,,0.091235533,0.096753993
27-05-1997,0.0755,0.0824,0.0729,0.0792,725259,,,,0.0042,0.0042,0,,,,,,0.090459047,0.096579326
28-05-1997,0.0813,0.0818,0.0766,0.0766,381449,,,,-0.0026,0,0.0026,,,,,,0.089564915,0.096380527
29-05-1997,0.0772,0.0772,0.074,0.0753,289593,,,,-0.0013,0,0.0013,,,,,,0.088644598,0.096170771
30-05-1997,0.075,0.0755,0.074,0.075,216200,,,,-0.0003,0,0.0003,,,,,,0.087764301,0.095960116
02-06-1997,0.0755,0.0766,0.075,0.0755,49300,,,,0.0005,0.0005,0,,,,,,0.086973056,0.095756533
03-06-1997,0.0766,0.0766,0.074,0.074,98667,,,,-0.0015,0,0.0015,,,,,,0.086136085,0.09554005
04-06-1997,0.0739,0.0744,0.0698,0.0708,256519,,,,-0.0032,0,0.0032,,,,,,0.08514666,0.09529388
05-06-1997,0.0709,0.0771,0.0688,0.0771,472700,,,,0.0063,0.0063,0,,,,,,0.08462752,0.095112847
06-06-1997,0.0758,0.0854,0.0755,0.0828,650601,,,,0.0057,0.0057,0,,,,,,0.084509616,0.094990331
09-06-1997,0.0828,0.0855,0.0828,0.0844,196116,,,,0.0016,0.0016,0,,,,,,0.084502544,0.094884954
10-06-1997,0.0855,0.0855,0.0766,0.0792,455188,,,,-0.0052,0,0.0052,,,,,,0.084160444,0.094728885
11-06-1997,0.0797,0.0802,0.0766,0.0771,99000,,,,-0.0021,0,0.0021,,,,,,0.083704932,0.094553473
12-06-1997,0.0792,0.0823,0.0776,0.0802,136000,,,,0.0031,0.0031,0,,,,,,0.083478807,0.094410653
13-06-1997,0.0813,0.0813,0.0792,0.0792,57837,,,,-0.001,0,0.001,,,,,,0.083202755,0.094259303
16-06-1997,0.0801,0.0801,0.0781,0.0786,76052,,,,-0.0006,0,0.0006,,,,,,0.082905803,0.094103489
17-06-1997,0.08,0.08,0.0748,0.0753,392461,,,,-0.0033,0,0.0033,,,,,,0.082415106,0.09391639
18-06-1997,0.0761,0.0768,0.075,0.0755,205400,,,,0.0002,0.0002,0,,,,,,0.08196897,0.093733142
19-06-1997,0.0755,0.0766,0.075,0.0755,83600,,,,0,0,0,,,,,,0.081551617,0.093551718
20-06-1997,0.0766,0.0776,0.075,0.0763,282300,,,,0.0008,0.0008,0,,,,,,0.081212803,0.093380059
