date,open,high,low,close,volume
15-05-1997,0.1219,0.125,0.0964,0.0979,6009006
16-05-1997,0.0985,0.099,0.0854,0.0865,1225710
19-05-1997,0.088,0.0886,0.0813,0.0854,508901
20-05-1997,0.0865,0.0876,0.0818,0.0818,455879
21-05-1997,0.0818,0.0824,0.0688,0.0714,1572203
22-05-1997,0.0719,0.0724,0.0656,0.0698,981401
23-05-1997,0.0703,0.0761,0.0667,0.075,1328101
27-05-1997,0.0755,0.0824,0.0729,0.0792,725259
28-05-1997,0.0813,0.0818,0.0766,0.0766,381449
29-05-1997,0.0772,0.0772,0.074,0.0753,289593
30-05-1997,0.075,0.0755,0.074,0.075,216200
02-06-1997,0.0755,0.0766,0.075,0.0755,49300
03-06-1997,0.0766,0.0766,0.074,0.074,98667
04-06-1997,0.0739,0.0744,0.0698,0.0708,256519
05-06-1997,0.0709,0.0771,0.0688,0.0771,472700
06-06-1997,0.0758,0.0854,0.0755,0.0828,650601
09-06-1997,0.0828,0.0855,0.0828,0.0844,196116
10-06-1997,0.0855,0.0855,0.0766,0.0792,455188
11-06-1997,0.0797,0.0802,0.0766,0.0771,99000
12-06-1997,0.0792,0.0823,0.0776,0.0802,136000
13-06-1997,0.0813,0.0813,0.0792,0.0792,57837
16-06-1997,0.0801,0.0801,0.0781,0.0786,76052
17-06-1997,0.08,0.08,0.0748,0.0753,392461
18-06-1997,0.0761,0.0768,0.075,0.0755,205400
19-06-1997,0.0755,0.0766,0.075,0.0755,83600
20-06-1997,0.0766,0.0776,0.075,0.0763,282300
23-06-1997,0.0771,0.0771,0.074,0.075,87300
24-06-1997,0.0753,0.0763,0.074,0.0755,62600
25-06-1997,0.0763,0.0763,0.0745,0.0755,175500
26-06-1997,0.0761,0.0761,0.0753,0.0755,265800
27-06-1997,0.0758,0.0758,0.074,0.0745,99000
30-06-1997,0.0755,0.08,0.074,0.0771,228900
01-07-1997,0.0771,0.0771,0.0755,0.0758,107700
02-07-1997,0.0758,0.0796,0.0755,0.0794,323297
03-07-1997,0.08,0.0959,0.0797,0.0956,1048650
07-07-1997,0.0917,0.1011,0.0917,0.1,671101
08-07-1997,0.1021,0.1167,0.1021,0.1151,1293101
09-07-1997,0.1151,0.1192,0.1135,0.1161,688204
10-07-1997,0.1167,0.1287,0.1167,0.1281,754301
11-07-1997,0.1261,0.1261,0.1104,0.1146,877601
14-07-1997,0.1162,0.1167,0.1058,0.1068,383880
15-07-1997,0.1068,0.124,0.1068,0.1219,772318
16-07-1997,0.1225,0.1248,0.1151,0.1167,252108
17-07-1997,0.1171,0.1171,0.1078,0.1109,263981
18-07-1997,0.1094,0.111,0.1078,0.1078,65000
21-07-1997,0.1089,0.1099,0.1073,0.1091,47900
22-07-1997,0.1084,0.1094,0.1031,0.1068,130361
23-07-1997,0.1094,0.1167,0.1089,0.1146,271600
24-07-1997,0.1151,0.1156,0.111,0.113,101400
25-07-1997,0.111,0.1126,0.111,0.1115,51723
28-07-1997,0.1114,0.1197,0.1109,0.1161,214408
29-07-1997,0.1183,0.1251,0.1167,0.124,401362
30-07-1997,0.125,0.1253,0.1214,0.1224,209800
31-07-1997,0.1219,0.1219,0.1167,0.1198,121200
01-08-1997,0.1172,0.1208,0.1125,0.1208,298877
04-08-1997,0.1188,0.1206,0.1151,0.1156,222600
05-08-1997,0.1167,0.1167,0.1073,0.1104,252700
06-08-1997,0.1104,0.1156,0.1094,0.1125,103600
07-08-1997,0.1126,0.1131,0.1063,0.1089,169478
08-08-1997,0.1084,0.1151,0.1052,0.1146,184300
11-08-1997,0.1146,0.1167,0.1125,0.1164,103300
12-08-1997,0.1141,0.1151,0.1099,0.1099,47600
13-08-1997,0.1115,0.1115,0.1084,0.1099,49200
14-08-1997,0.1089,0.1125,0.106,0.1078,86800
15-08-1997,0.1067,0.1077,0.0968,0.1057,133037
18-08-1997,0.1026,0.1026,0.0985,0.1021,148700
19-08-1997,0.1047,0.1103,0.1026,0.1083,83561
20-08-1997,0.1093,0.1093,0.1036,0.1083,82862
21-08-1997,0.1067,0.1085,0.1036,0.1057,51975
22-08-1997,0.1052,0.1062,0.1047,0.1062,59372
25-08-1997,0.1052,0.1129,0.1052,0.1109,93858
